country,year,no.fruit,daily.fruit,no.veg,daily.veg,no.soda,daily.soda
colombia,2007,0.10054336901806,0.6538476154178531,0.090228394303846,0.7035234266412593,NA,NA
costarica,2009,0.14367209009864537,0.601534778648392,0.061554325085575415,0.7465954025992813,0.1343755222651872,0.5159706389671299
curacao,2015,0.15961236064559772,0.5985972130986418,0.11601427548495521,0.7235422988215031,0.08725731649384559,0.6092614261631494
dominica,2009,0.11210128135572618,0.6922499642351215,0.1093827758064503,0.7006524595348224,0.16260949454463283,0.5711199017592005
ecuador,2007,0.10968347128258386,0.6881379745928833,0.1027038683599324,0.7148794145415,NA,NA
elsalvador,2013,0.08873600043232145,0.7303912178399852,0.11404292543818809,0.6876297822320768,0.09851905457286918,0.6601964317549247
grenada,2008,0.09936630784967163,0.7371922857103577,0.12326318655154679,0.6698086469655465,NA,NA
guatemala,2009,0.08910917075080468,0.7333692978651863,0.06114263146592313,0.7680708927431877,0.12923304265239166,0.5427828345785173
guyana,2004,0.0808858496893497,0.7539080363659068,0.043498355356787095,0.8475161219308298,NA,NA
honduras,2012,0.1361499745667934,0.6729890591878354,0.13294099974865925,0.6917731860970412,0.07905729414975488,0.7379291078244727
jamaica,2010,0.09433724536740665,0.7426563363912045,0.1353600169700853,0.6820219739642465,0.1436338592255241,0.7042423845473761
montserrat,2008,NA,NA,NA,NA,NA,NA
peru,2010,0.04612410931032082,0.724620576079607,0.05207220174874292,0.7550614184525901,0.12730221880546408,0.5402409231082557
stkitts,2011,0.13925792340983728,0.5844994724557226,0.10222225452484542,0.6731800202915494,0.14219534034017928,0.6103781385526591
stlucia,2007,0.10318795502014114,0.6711962997964771,0.0855788165503652,0.7351353906572129,NA,NA
stvincent,2007,0.061032837731701484,0.7869020206742813,0.14760660873441994,0.63669172151093,NA,NA
suriname,2009,0.10533235850755904,0.7457449182056277,0.026973075143851714,0.8998977274325072,0.045690306716965695,0.8038096310867123
tandt,2007,0.12007719450995682,0.6468082228836736,0.10988222204073571,0.6847601292432907,NA,NA
uruguay,2006,0.05961286653064056,0.7468917372352867,0.054103626302356635,0.7729060659745016,NA,NA
venezuela,2003,0.12293381352375779,0.5819395692359864,0.14205213760778812,0.5806765836778361,NA,NA
bangladesh,2014,0.047944398254293016,0.4994112166402335,0.011469360259155398,0.7465556102212734,0.15739783468475563,0.4716457899486483
india,2007,0.07026163726358796,0.7088628151193083,0.020483571667555017,0.89271142034824,NA,NA
indonesia,2007,0.06614594661758504,0.6964564871696284,0.025050289977183126,0.8329888352685363,NA,NA
maldives,2009,0.15637947710449507,0.4081385981945028,0.21156261095915438,0.3664480119118553,0.2494415012303595,0.33043785850123436
srilanka,2008,0.12447262779099609,0.6540878110390307,0.031047218839504984,0.8424484801558165,NA,NA
thailand,2008,0.05153112631789092,0.7676926092910404,0.030186320689817008,0.8714516799250637,NA,NA
timorleste,2015,0.10330320631341658,0.46286054168870144,0.06295475743765097,0.5891104700119338,0.13576890087522897,0.4191901109340216
tajikistan,2006,NA,NA,NA,NA,NA,NA
macedonia,2007,0.033295199717643664,0.8373015612269628,0.0424007257955917,0.8041344134824946,NA,NA
afghanistan,2014,0.11195919307808644,0.5751316131445247,0.09437868112893096,0.6405088519600574,0.28572188927680103,0.37466412660804504
egypt,2006,0.07611249215819708,0.6986887781207353,0.05248877780246008,0.8489803594172302,NA,NA
djibouti,2007,0.14952715523692542,0.6572450709096362,0.1074330615789401,0.608427025478805,NA,NA
iraq,2012,0.05373363404385005,0.7093462318359854,0.035816918256324236,0.7715180615397508,0.12711824879398764,0.539477322466748
jordan,2004,0.07888134231379779,0.7154432033800484,0.03820669557268953,0.8055731831622007,NA,NA
kuwait,2011,0.14434599455689257,0.5914869350202752,0.1308596755138073,0.6228003621079234,0.070598602490664,0.7450282483962557
lebanon,2005,0.03456304128093112,0.7897723617144465,0.0372075647062111,0.7443663253311327,NA,NA
libya,2007,0.0650261526937684,0.35230700022878586,0.05264613635503894,0.47316351139478185,NA,NA
morocco,2006,0.02654107041195515,0.861954206352894,0.015706780251828034,0.939025022550476,NA,NA
palestine,2010,0.11397578296049297,0.6958786228529704,0.10051928725051776,0.7151033521723968,0.22116573349862664,0.5008739159968013
oman,2005,0.06389300839065691,0.7724788287943289,0.09055877701820253,0.7342392500621381,NA,NA
pakistan,2009,0.09048865044343138,0.6748427790187211,0.01742519828611494,0.9023267537060897,0.4127690907266763,0.36336628426817597
